,GHI(W/m2),DHI(W/m2),DNI(W/m2),TEMPERATURE,R.HUMIDITY,WINDSPEED,CABLE#1,CABLE#2,CABLE#3,CABLE#4,CABLE#5,TX(LV)
12153,110.0,109.0,38.0,24.0,74.0,25.9,1.382447,1.252399,1.412481,1.22995,0.649235,6.741592
12154,152.0,152.0,30.0,24.3,68.0,29.5,1.586982,1.570631,1.627983,1.491852,0.925852,6.83588
12155,312.0,311.0,52.0,24.0,69.0,37.1,3.401407,3.350346,3.43326,3.322512,2.205899,15.79324
12156,350.0,347.0,50.0,26.0,58.0,33.5,3.482485,3.479972,3.583047,3.512369,2.308661,16.901124
12157,370.0,337.0,69.0,27.8,49.0,25.9,3.044556,3.207028,3.058668,3.208644,2.233363,14.779644
12158,203.0,203.0,19.0,27.0,62.0,22.3,2.226696,2.04582,2.446775,2.175545,1.373547,10.465968
12159,690.0,596.0,124.0,24.0,78.0,14.8,4.826881,5.671615,5.737831,6.229936,3.798315,27.46138
12160,546.0,485.0,130.0,22.0,88.0,18.4,4.854922,5.216551,4.934067,5.230862,3.43304,24.27916
12161,355.0,351.0,13.0,27.0,58.0,22.3,3.319184,3.215779,3.507514,3.414574,2.220189,16.052532
12162,161.0,160.0,12.0,28.6,44.0,24.5,2.431954,1.546167,2.40343,1.563107,1.014294,8.556636
12164,62.0,43.0,94.0,21.0,78.0,0.0,0.533724,0.528054,0.540014,0.47542,0.297882,2.145052
12165,312.0,105.0,284.0,23.0,69.0,11.2,2.603615,2.51831,2.680697,2.510476,1.609108,11.856716
12166,544.0,154.0,387.0,25.0,66.0,33.5,4.759611,4.582974,4.775847,4.656239,2.996787,21.945532
12167,775.0,221.0,386.0,27.0,58.0,44.6,6.658595,5.828546,6.925927,6.395371,4.334883,30.950036
12168,875.0,196.0,451.0,29.0,48.0,33.5,7.450175,7.329657,7.581455,7.304468,4.305982,35.71158
12169,957.0,189.0,467.0,30.0,41.0,40.7,7.935403,7.836377,8.037304,7.814633,5.092721,37.314476
12170,926.0,204.0,452.0,32.0,36.0,48.2,7.713232,7.580366,7.82026,7.571311,4.999759,36.630888
12171,831.0,181.0,457.0,32.0,34.0,44.6,7.02143,6.874707,7.100963,6.880714,4.548248,33.425096
12172,698.0,166.0,446.0,32.5,33.0,25.9,5.802361,5.742931,5.916581,5.745501,3.783087,28.474976
12173,549.0,151.0,403.0,33.0,32.0,33.5,4.006981,3.983029,4.126895,3.948434,2.57594,19.729764
12174,295.0,132.0,277.0,33.0,34.0,18.4,1.968189,1.908456,1.970454,1.888132,1.273346,9.31094
12176,33.0,36.0,6.0,21.2,84.0,18.7,0.262553,0.261989,0.262791,0.262233,0.195189,0.990024
12177,277.0,131.0,204.0,22.8,73.0,23.8,1.515073,1.719349,1.608612,1.680641,1.420273,8.863072
12178,231.0,231.0,18.0,24.5,65.0,27.4,2.229247,2.137094,2.395,2.119698,1.381475,11.1967
12179,206.0,202.0,27.0,26.5,54.0,27.7,1.804374,1.61887,1.887784,1.603216,1.064171,9.07522
12180,972.0,296.0,467.0,28.2,45.0,29.9,8.028365,8.002921,8.143273,7.98043,5.329572,37.927348
12181,360.0,277.0,58.0,28.7,43.0,28.4,6.204374,3.797514,7.680461,4.351991,1.810923,24.51488
12182,418.0,367.0,24.0,30.8,36.0,29.5,2.982032,2.896702,3.602427,3.028936,2.282587,15.345372
12183,417.0,404.0,24.0,30.4,38.0,28.4,4.31815,3.940467,4.221691,3.862742,2.672343,19.894768
12184,342.0,341.0,23.0,30.8,36.0,29.2,3.84025,3.436254,3.852045,3.463595,2.078128,17.136844
12185,294.0,282.0,14.0,29.3,41.0,26.6,2.233646,2.378183,2.36972,2.466633,1.690485,11.786
12186,387.0,169.0,334.0,29.6,39.0,25.6,2.942835,2.745378,2.915625,2.743103,1.803512,14.449636
12188,50.0,39.0,106.0,20.9,74.0,16.9,0.334744,0.344672,0.339426,0.338232,0.196323,0.990024
12189,300.0,87.0,315.0,22.7,66.0,19.8,2.335865,2.341424,2.407806,2.331343,1.498929,10.395252
12190,534.0,118.0,408.0,24.7,56.0,24.5,4.670204,4.530035,4.857975,4.557362,2.962814,21.756956
12191,722.0,124.0,474.0,26.7,48.0,25.9,6.410237,6.298098,6.527891,6.270277,4.156868,30.572884
12192,875.0,123.0,507.0,28.7,39.0,27.0,7.42822,7.379206,7.574746,7.345871,4.882811,35.735152
12193,970.0,128.0,510.0,30.4,31.0,28.4,8.02928,7.959099,8.207754,7.948926,5.230688,37.7152
12194,977.0,116.0,543.0,31.8,25.0,28.1,7.982535,7.911714,8.177712,7.888102,5.186789,38.681652
12195,863.0,130.0,501.0,32.5,23.0,27.0,7.259155,7.162218,7.396061,7.146973,4.762885,34.65084
12196,724.0,130.0,502.0,32.3,25.0,27.4,6.051209,5.978973,6.178303,5.989344,3.939276,29.512144
12197,576.0,121.0,450.0,32.3,25.0,26.6,4.238861,4.201132,4.35636,4.211801,2.762496,20.224776
12198,325.0,101.0,360.0,31.8,25.0,24.8,2.077954,2.018132,2.125491,2.034432,1.333425,9.78238
12200,51.0,36.0,89.0,21.2,78.0,21.6,0.368379,0.298501,0.375714,0.328219,0.200148,1.013596
12201,289.0,96.0,305.0,22.7,70.0,23.0,2.232,2.199069,2.300149,2.249455,1.415022,10.230248
12202,524.0,140.0,393.0,24.8,59.0,28.1,4.487561,4.413557,4.330784,4.404062,2.878718,20.837648
12203,746.0,147.0,463.0,26.6,51.0,27.7,6.546376,6.407511,6.611067,6.392943,4.175099,31.11504
12204,534.0,166.0,247.0,28.8,42.0,31.7,7.633279,7.610413,7.870896,7.729063,5.01005,37.031612
12205,1087.0,266.0,476.0,30.0,37.0,31.0,8.592575,8.708586,8.712419,8.64806,5.781549,40.944564
